0 s | CREATE BinaryScalarOp | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
91 ns | INPUT_ARRIVED in0 value=5 | in_q0=[4, 5] in_q1=[40, 50] out_q=[22] input_reserved0=0 input_reserved1=0 output_reserved=1
102 ns | WAIT_END compute_latency inputs=(3, 30) | in_q0=[4, 5] in_q1=[40, 50] out_q=[22] input_reserved0=0 input_reserved1=0 output_reserved=1
102 ns | FUNCTION_FINISH produce_out=33 | in_q0=[4, 5] in_q1=[40, 50] out_q=[22, 33] input_reserved0=0 input_reserved1=0 output_reserved=0
120 ns | WAIT_END function_interval | in_q0=[4, 5] in_q1=[40, 50] out_q=[22, 33] input_reserved0=0 input_reserved1=0 output_reserved=0
120 ns | WAIT_START function_backpressure | in_q0=[4, 5] in_q1=[40, 50] out_q=[22, 33] input_reserved0=0 input_reserved1=0 output_reserved=0
148 ns | TRANSFER_END value=22 | in_q0=[4, 5] in_q1=[40, 50] out_q=[22, 33] input_reserved0=0 input_reserved1=0 output_reserved=0
148 ns | OUTPUT_CONSUMED value=22 | in_q0=[4, 5] in_q1=[40, 50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=0
148 ns | TRANSFER_START value=33 transfer_delay=3 ns | in_q0=[4, 5] in_q1=[40, 50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=0
148 ns | WAIT_END function_backpressure | in_q0=[4, 5] in_q1=[40, 50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=0
148 ns | FUNCTION_START consume_in0=4 consume_in1=40 | in_q0=[5] in_q1=[50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=1
148 ns | WAIT_START function_interval | in_q0=[5] in_q1=[50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=1
148 ns | WAIT_START compute_latency inputs=(4, 40) delay=12 ns | in_q0=[5] in_q1=[50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=1
160 ns | WAIT_END compute_latency inputs=(4, 40) | in_q0=[5] in_q1=[50] out_q=[33] input_reserved0=0 input_reserved1=0 output_reserved=1
160 ns | FUNCTION_FINISH produce_out=44 | in_q0=[5] in_q1=[50] out_q=[33, 44] input_reserved0=0 input_reserved1=0 output_reserved=0
178 ns | WAIT_END function_interval | in_q0=[5] in_q1=[50] out_q=[33, 44] input_reserved0=0 input_reserved1=0 output_reserved=0
178 ns | WAIT_START function_backpressure | in_q0=[5] in_q1=[50] out_q=[33, 44] input_reserved0=0 input_reserved1=0 output_reserved=0
251 ns | TRANSFER_END value=33 | in_q0=[5] in_q1=[50] out_q=[33, 44] input_reserved0=0 input_reserved1=0 output_reserved=0
251 ns | OUTPUT_CONSUMED value=33 | in_q0=[5] in_q1=[50] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=0
251 ns | TRANSFER_START value=44 transfer_delay=3 ns | in_q0=[5] in_q1=[50] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=0
251 ns | WAIT_END function_backpressure | in_q0=[5] in_q1=[50] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=0
251 ns | FUNCTION_START consume_in0=5 consume_in1=50 | in_q0=[] in_q1=[] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=1
251 ns | WAIT_START function_interval | in_q0=[] in_q1=[] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=1
251 ns | WAIT_START compute_latency inputs=(5, 50) delay=12 ns | in_q0=[] in_q1=[] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=1
263 ns | WAIT_END compute_latency inputs=(5, 50) | in_q0=[] in_q1=[] out_q=[44] input_reserved0=0 input_reserved1=0 output_reserved=1
263 ns | FUNCTION_FINISH produce_out=55 | in_q0=[] in_q1=[] out_q=[44, 55] input_reserved0=0 input_reserved1=0 output_reserved=0
281 ns | WAIT_END function_interval | in_q0=[] in_q1=[] out_q=[44, 55] input_reserved0=0 input_reserved1=0 output_reserved=0
281 ns | WAIT_START function_backpressure | in_q0=[] in_q1=[] out_q=[44, 55] input_reserved0=0 input_reserved1=0 output_reserved=0
354 ns | TRANSFER_END value=44 | in_q0=[] in_q1=[] out_q=[44, 55] input_reserved0=0 input_reserved1=0 output_reserved=0
354 ns | OUTPUT_CONSUMED value=44 | in_q0=[] in_q1=[] out_q=[55] input_reserved0=0 input_reserved1=0 output_reserved=0
354 ns | TRANSFER_START value=55 transfer_delay=3 ns | in_q0=[] in_q1=[] out_q=[55] input_reserved0=0 input_reserved1=0 output_reserved=0
354 ns | WAIT_END function_backpressure | in_q0=[] in_q1=[] out_q=[55] input_reserved0=0 input_reserved1=0 output_reserved=0
354 ns | WAIT_START function_backpressure | in_q0=[] in_q1=[] out_q=[55] input_reserved0=0 input_reserved1=0 output_reserved=0
457 ns | TRANSFER_END value=55 | in_q0=[] in_q1=[] out_q=[55] input_reserved0=0 input_reserved1=0 output_reserved=0
457 ns | OUTPUT_CONSUMED value=55 | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
457 ns | WAIT_START output_data | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
457 ns | WAIT_END function_backpressure | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
457 ns | WAIT_START function_backpressure | in_q0=[] in_q1=[] out_q=[] input_reserved0=0 input_reserved1=0 output_reserved=0
